"year","state","stores","population"
1965,"AR",3,1894000
1970,"AR",8,1930077
1970,"KS",1,2247823
1970,"LA",1,3650209
1970,"MO",7,4684768
1970,"OK",3,2566485
1975,"AR",34,2158291
1975,"KS",7,2278621
1975,"KY",1,3468755
1975,"LA",4,3886963
1975,"MO",37,4795383
1975,"MS",3,2399924
1975,"OK",22,2771858
1975,"TN",6,4260829
1975,"TX",1,12568182
1980,"AL",9,3900368
1980,"AR",59,2288738
1980,"IL",19,11434702
1980,"KS",16,2369039
1980,"KY",7,3664221
1980,"LA",12,4223101
1980,"MO",66,4921966
1980,"MS",19,2525342
1980,"OK",45,3040758
1980,"TN",18,4600252
1980,"TX",42,14338208
1985,"AL",49,3972520
1985,"AR",69,2327046
1985,"CO",1,3208726
1985,"FL",36,11351120
1985,"GA",37,5962639
1985,"IA",13,2829684
1985,"IL",45,11399803
1985,"IN",5,5459214
1985,"KS",31,2427401
1985,"KY",42,3694816
1985,"LA",47,4408113
1985,"MO",87,5000260
1985,"MS",33,2588103
1985,"NC",1,6253957
1985,"NE",8,1584661
1985,"NM",10,1438360
1985,"OK",63,3271333
1985,"SC",25,3303211
1985,"TN",64,4715292
1985,"TX",152,16272722
1985,"VA",1,5715149
1985,"WI",2,4747765
1990,"AL",73,4050055
1990,"AR",73,2356586
1990,"AZ",19,3684097
1990,"CA",3,29959515
1990,"CO",29,3307618
1990,"FL",109,13033307
1990,"GA",78,6512602
1990,"IA",35,2781018
1990,"IL",78,11453316
1990,"IN",44,5557798
1990,"KS",42,2481349
1990,"KY",63,3694048
1990,"LA",73,4221532
1990,"MI",7,9311319
1990,"MN",8,4389857
1990,"MO",103,5128880
1990,"MS",55,2578897
1990,"NC",56,6664016
1990,"ND",5,637685
1990,"NE",14,1581660
1990,"NM",19,1521574
1990,"NV",1,1220695
1990,"OH",26,10864162
1990,"OK",76,3148825
1990,"PA",1,11903299
1990,"SC",47,3501155
1990,"SD",6,697101
1990,"TN",83,4894492
1990,"TX",227,17056755
1990,"UT",5,1731223
1990,"VA",17,6216884
1990,"WI",31,4904562
1990,"WV",6,1792548
1990,"WY",6,453690
1995,"AL",76,4296800
1995,"AR",73,2535399
1995,"AZ",31,4432499
1995,"CA",87,31696582
1995,"CO",36,3826653
1995,"CT",5,3324144
1995,"DE",2,729734
1995,"FL",132,14537875
1995,"GA",84,7328413
1995,"IA",45,2867373
1995,"ID",7,1177322
1995,"IL",104,12008437
1995,"IN",72,5851459
1995,"KS",46,2601007
1995,"KY",68,3887427
1995,"LA",74,4378779
1995,"MA",23,6141445
1995,"MD",19,5070033
1995,"ME",19,1243480
1995,"MI",39,9676211
1995,"MN",33,4660180
1995,"MO",106,5378247
1995,"MS",56,2722659
1995,"MT",6,876553
1995,"NC",83,7344674
1995,"ND",8,647832
1995,"NE",17,1656992
1995,"NH",15,1157561
1995,"NJ",14,8083242
1995,"NM",19,1720394
1995,"NV",9,1581578
1995,"NY",49,18524104
1995,"OH",70,11202751
1995,"OK",77,3308208
1995,"OR",18,3184369
1995,"PA",50,12198403
1995,"RI",4,1017002
1995,"SC",52,3748582
1995,"SD",8,737925
1995,"TN",87,5326936
1995,"TX",240,18958751
1995,"UT",13,2014177
1995,"VA",46,6670693
1995,"VT",1,589002
1995,"WA",13,5481027
1995,"WI",51,5184836
1995,"WV",15,1823700
1995,"WY",9,485160
2000,"AL",82,4451849
2000,"AR",75,2678288
2000,"AZ",39,5166697
2000,"CA",115,33994571
2000,"CO",41,4328070
2000,"CT",18,3411726
2000,"DE",5,786411
2000,"FL",142,16047118
2000,"GA",96,8230161
2000,"IA",51,2928184
2000,"ID",13,1299551
2000,"IL",110,12437645
2000,"IN",83,6091649
2000,"KS",50,2692810
2000,"KY",73,4048903
2000,"LA",78,4468979
2000,"MA",35,6363015
2000,"MD",29,5310579
2000,"ME",20,1277211
2000,"MI",53,9955308
2000,"MN",37,4933958
2000,"MO",111,5606065
2000,"MS",60,2848310
2000,"MT",9,903293
2000,"NC",94,8079383
2000,"ND",8,641200
2000,"NE",19,1713345
2000,"NH",21,1240446
2000,"NJ",23,8430921
2000,"NM",22,1820813
2000,"NV",14,2018211
2000,"NY",62,18998044
2000,"OH",88,11363844
2000,"OK",80,3453943
2000,"OR",24,3430891
2000,"PA",76,12285504
2000,"RI",7,1050736
2000,"SC",59,4023570
2000,"SD",8,755694
2000,"TN",87,5703243
2000,"TX",252,20945963
2000,"UT",15,2244314
2000,"VA",66,7104533
2000,"VT",4,609903
2000,"WA",25,5911122
2000,"WI",59,5374254
2000,"WV",28,1806962
2000,"WY",9,493958
2005,"AL",89,4545049
2005,"AR",81,2776221
2005,"AZ",57,5974834
2005,"CA",157,35795255
2005,"CO",56,4660780
2005,"CT",32,3477416
2005,"DE",7,839906
2005,"FL",174,17783868
2005,"GA",114,9097428
2005,"IA",54,2949450
2005,"ID",17,1425862
2005,"IL",128,12674452
2005,"IN",88,6253120
2005,"KS",53,2741771
2005,"KY",81,4182293
2005,"LA",83,4497691
2005,"MA",44,6453031
2005,"MD",41,5582520
2005,"ME",22,1311631
2005,"MI",76,10090554
2005,"MN",52,5106560
2005,"MO",116,5806639
2005,"MS",65,2900116
2005,"MT",11,934801
2005,"NC",110,8669452
2005,"ND",8,635365
2005,"NE",26,1751721
2005,"NH",26,1301415
2005,"NJ",41,8621837
2005,"NM",29,1916538
2005,"NV",22,2408804
2005,"NY",81,19330891
2005,"OH",120,11475262
2005,"OK",82,3532769
2005,"OR",29,3617869
2005,"PA",113,12418161
2005,"RI",8,1064989
2005,"SC",62,4256199
2005,"SD",10,780084
2005,"TN",96,5995748
2005,"TX",312,22801920
2005,"UT",28,2499637
2005,"VA",80,7563887
2005,"VT",4,618814
2005,"WA",37,6261282
2005,"WI",77,5541443
2005,"WV",31,1803920
2005,"WY",9,506242
